Category,Location,Resume,Applied_Jobs
civil engineer,da nang,"computer knowledge drafting tools: autocad. packages: ms office applications operating systems: windows x//xp/vista. detailexperiences experience in india: ) working experience at alia construction at nallasopara (west) mumbai since june to may . as a civil engineer ( years) project handle: project title: yashwant orichids position: site engineer location: nallasopara (w) mumbai maharashtra - indiaeducation details s.s.c rajasthan board excellence polytechnic college civil engineer civil engineer - site encharge skill details autocad.- exprience - months civil engineer- exprience - months drafting- exprience - months engineer- exprience - months ms office- exprience - monthscompany details company - site encharge description - location: andheri (e) marol bus depot, near maruti high school, midc mumbai maharashtra india experience in uae: ) currently working at nova engineering works since may to till date as a civil engineer. location: flat # a&b al maha building, university city road, muweilah commercial, near alfalah round about sharjah. job responsibilities achieving construction activities like excavation, foundation, pcc, waterproofing, rcc and shuttering, steel fixing, casting concrete, masonry for brick works and plastering tile fixing etc. up to completion. independently following with design engineers of, architecture, and structural updated drawing for minor changes, as per site requirement needed and inspection before casting columns, slabs. etc looking after construction activities, making requisition and facilitating the arrangement procurement of construction materials. executions of civil, interior and exterior ground finish works and site supervision. job responsibilities: scheduling of work. preparing & verification of sub-contractors' & suppliers' bills. working out the quantities. verify the quantities from the client's engineer. computer skills: drafting tools: autocad. packages: ms office applications operating systems: windows x//xp/vista. personal strength: excellent communication skills. hardworking sincerity and honesty individual & team working capability knowledge of m ( minutes, manpower, material, machine, management ) manage development of program strategies thank you for viewing my resume company - kherwadi police station description - mumbai maharashtra india ) working experience at om construction since january to april as a civil engineer (. years) project handle: project title: radha position: senior engineer location: dadar (e) hindu colony road no mumbai maharashtra project title: lodha eternis company - expert construction description - project handle: project title: estado","['bridge system engineer (bse)', 'backend engineer (typescript, rust, python)', 'backend/ cloud engineer', 'software engineer (java, english)']"
business analyst,ha noi,"education details february to february tybcom commerce mumbai business analyst business analyst skill details company details company - motilal oswal description - business analyst handling it operation for institutional equities maintain daily mis in excel for cag, research, derivative, sales team preparing auto dashboard for research, sales, trading team working on excel macro to create innovative report working on block related data working on bd fund from different geo working on investors corporate meeting to track corporate block & fund interest in sector company - fss description - project description: maintain and prepare cash indent, cash report, cash position, and cash planning responsibilities: maintain daily mis in excel. provide complete information about mis & atm. maintain and prepare cash indent, cash report, cash position., cash planning co-ordinate with bank cash department. co-ordinate with custodians . degree/ course year of passing grade institute university/ board percentage company - angel broking description - reporting: assistant manager / sr. manger responsibilities: handling team of quality assurance team members maintain daily mis in excel of team productivity maintain and prepare repots, adding comments on remark mailing client for modification of given number mailing reports to different branches coordinating with rm provide complete information about script to client","['senior business analyst', 'business system analyst', 'it business analyst (middle/senior)', 'business analyst (english) - up to $2500']"
dotnet developer,ho chi minh,"technical skills languages: c#, asp .net mvc, html, css, javascript, angularjs primary skill: entity framework. tools used: sql server , visual studio . project details: .project name: transport management system role: dot net developer platform used: mvc, angularjs, sql server description: this project is about the transport management system. this project is used to keeps all the record of the vehicle, customer, employee. reduce costs with centralized planning and execution of logistics activities. vehicle owner can add his vehicle for rent of the specific day into the application from their location. admin can easily access the data of vehicle, customer & employee. responsibilities: used -tier architecture for presentation layer, the business and data access layers and were coded using c# as per user requirements. make changes in the project with discussing the group for new requirement. work on customer and vehicle model. .project name: crm role: dot net developer platform used: mvc, sql server description: it's kind of crm application where a training institute can easily track their student data. where we have different user store or access and utilise to manage this data with application. any user can easily fill the information of the leads comes in that institute also who joined or convert that leads as a student in that institute. all information can store or easily manage this application also the good leads or the student who didn't join but their records are store in this application so this application help institute to fetch all the contacts information or those leads or student who didn't join that time. we can later contact to those leads in future. also with the application we get to know each and every leads or student who joined responsibilities: used -tier architecture for presentation layer, the business and data access layers and were coded using c# as per user requirements. make changes in the project with discussing the group for new requirement. work on enquiry model. key strength: adaptability. hard worker. self motivated. positive attitude.education details january hsc maharashtra board january ssc maharashtra board dot net developer dot net developer - glyphisoft technology skill details asp- exprience - months dot- exprience - months model view controller- exprience - months model-view-controller- exprience - months mvc- exprience - monthscompany details company - glyphisoft technology description - having around .+ years of experience in development in asp.net mvc currently associated with glyphisoft technology solution as .net developer.","['fullstack developer (.net & reactjs)', 'senior java developer (ide plugin/extension)', 'c/c++ developer (middle, english)', '.net developer']"
etl developer,ho chi minh,"education details january bachelor of engineering extc mumbai, maharashtra mumbai university january diploma industrial electronics vashi, maharashtra, in fr. agnel polytechnic etl developer etl developer skill details informatica- exprience - monthscompany details company - blue shield of california description - duration: (mar - sept ) description: blue shield of california (bsc) is health plan provider. the intent of this project is to process feeds coming in and going out of bsc system related to eligibility, enrollment, and claims subject areas. all these feeds comes in different formats and are processed using informatica .., oracle g, facets . &tidal. technical environment: etl tool (informatica power center ..), oracle g (sql, pl-sql), unix, facets, tidal, jira, putty. role: etl developer responsibilities: responsible for analyzing the business requirement document involved in development of informatica mappings using different transformations like source qualifier, expression, filter, router, joiner, union, aggregator, normalizer, sorter, lookup and its corresponding sessions and workflows. extensively used informatica debugger to figure out the problems in mapping and involved in troubleshooting the existing bugs. writing unix scripts & sql's as per the business requirement. impact analysis of change requests & their development. data fabrication using facets screens as well as sql statements in membership domain. unit testing & trouble shooting using informatica debugger, sql query & preparation of unit test cases. prepare documents for design, unit testing and impact analysis. awards & achievements received kudos award at syntel for contribution in error free work, commitment towards learning, client appreciation and outstanding display of syntel values received appreciation from management for outstanding performance in complete tenure. received spot recognition for automation done in project.","['ho - data engineer (etl specialist)', 'database developer (up to $2000 gross)', 'middle/senior data analyst (python, sql)', 'database developer / data analyst (sql, python/r, sap)', 'data platform engineer (azure/ databrick) ']"
testing,da nang,"personal skills quick learner, eagerness to learn new things, competitive attitude, good leadership qualities, ability to deal with people diplomatically. personal dossier fathers name: dhanraj wagheducation details january to january bachelors of engineering engineering pune, maharashtra pune university january higher secondary certificate nashik, maharashtra snd college of engineering and research center january secondary school certificate yeola, maharashtra swami muktanand jr. college hsc maharashtra state board ssc maharashtra state bard be rajapur, uttar pradesh madhyamik vidya mandir rajapur testing and quality control engineer testing and quality control engineer - m/s rakesh transformer industries pvt. ltd skill details company details company - m/s rakesh transformer industries pvt. ltd description - responsibilities: to conduct routine test, type test (temperature rise test), special test on transformers as per is & iec up to - mva / kv class & preparing of its test reports. routine tests, type tests and special tests as per is , is , is /iec-- test manual/inspection plans of power transformers, distribution transformers, inverter duty, converter duty, motor duty transformer, furnace transformer, auto transformers, dry type (vpi & crt) lt transformers, special transformers testing remote tap changer cubicle (rtcc) panel with oltc and its operation ( ctr, esun mr.) functional testing of transformer accessories ( br, prv, mog, wti, oti and its setting) in case any failure in testing analyses the root cause and submit the capa assist the customer or their representative at the time of inspection. in process testing of winding, core assembly and core coil assembly. handling rd party and government body's inspection. preparation of daily internal testing reports and send to concern. support certification audits (iso & bis) calibration/validation of tools, instruments, measuring equipment's suggest the client about proper maintenance of transformer doing all documentation and maintain records and analyze the test results and maintain testing ledger in process quality inspection of winding, core assembly, core coil assembly as per standard and as per organizational norms. pre dispatch quality inspection of complete product. implementation of, why-why analysis. company - m/s silverline electricals pvt. ltd description - routine tests, type tests (temperature rise test) and special tests as per is , is / test manual/inspection plans of distribution transformer, power transformer successfully handled responsibilities of erda's testing. on site commissioning of transformer. assist the customer or their representative at the time of inspection. in process testing of winding, core assembly and core coil assembly. successfully handling rd party and government body's inspection preparation of daily internal testing reports and send to concern. suggest the client about proper maintenance of transformer","['system test engineer (automation test, networking)', 'senior manual qc (tester, product, start-up)', 'automation tester engineer ', 'senior manual tester (qa qc, english)', 'manual qa/qc engineer']"
sales,ha noi,skills . ms-office . good communication skills and convincing power . knowledge of sales and marketing . customer sales management . talent management . direct sales management strengths . dedication and dependability . flexibility: able to work in taxing and demanding conditions on reasonably stretchable time slots . team work: able to work cooperatively in a team and lead the team to success education details sales manager skill details and marketing- exprience - months direct sales- exprience - months marketing- exprience - months of sales- exprience - months sales- exprience - monthscompany details company - bajaj finance description - company - bajaj finance description - sbi bank as a office assistence for year k g n shope as a office assistence month vodafone as a telle caller year bajaj finserv ltd as an assistant sales manager month square capital as a sales manager month at present working in bajaj housing finance ltd as an assistant sales manager,"['sub project manager (python,java, aws)', 'delivery manager', 'erp business analyst - presales consultant', 'product manager (logistics, b2b)', 'product portfolio manager (assistant to ceo)']"
sales,ho chi minh,"skill sets: multi-tasking collaborative optimistic thinking effective teamleader/team trainer visualizing the work which is to be done good grip on communication various languages known value loyalty and is loyal towards my responsibility compatible working with ms officeeducation details january mba marketing & sales amity university january bsc. hotel management p.s.g college of arts and sciences institution/university/board sales manager sales and marketing management skill details ms office- exprience - monthscompany details company - cohesive technologies description - i am responsible for managing company's business in mumbai area,along with branch manager,i follow up leads given to me by my corporate office, i meet them personally give them the best solutions and product suitable for their business, i even generate leads by myself by calling up the clients through cold call,my job is like an entrepreneur here, which basically involves managing a small business.","['it service management consultant', 'servicenow integration assistant manager ', 'itsm assistant manager ']"
automation testing,ho chi minh,"technical skills summary i have completed ""corporate training in manual and automation testing"" at source-code technology, pune. manual and automation testing selenium ide, testng, selenium grid, jenkins, apache poi. good knowledge in sdlc. excellent understanding of white box testing and black box testing. good knowledge in functional testing, integration testing and system testing. good exposure in writing functional and integration scenarios. good understanding of writing of test cases including test case design technique. good understanding build and release. good knowledge on ad hoc and smoke testing. excellent understanding of usability, reliability and exploratory testing. excellent knowledge of globalization and compatibility testing. excellent understand of stlc. good knowledge of regression and retesting. excellent knowledge on defect tracking and defect life cycle. good knowledge on test plan and traceability matrix. internship project project name: resume extractor duration: months role: manual and automation testing environment: jdbc, servlets, jsp, technologies: web based application, ms access the project involved development of a web application. resume extractor provides the technology to analyze mass volume of data to detect resume in data covered which company have into valuable information. this project is company site's based on recruitment process. strengths able to work in a team system and operational analysis good communication skills active learning and critical thinking good interpersonal skills, willing to take challenges and more responsibilities. ability to learn new technologies with minimal time period. education details january bcs computer science mgm's college mca pune, maharashtra computer science fromjspm college hsc nanded, maharashtra maharashtra state board ssc nanded, maharashtra maharashtra state board software testing software testing skill details apache- exprience - months black box- exprience - months black box testing- exprience - months functional testing- exprience - months integration- exprience - monthscompany details company - tech mahindra description - software testing in manual and automation company - description - software test engineer","['automation tester engineer ', 'system test engineer (automation test, networking)', 'senior manual tester (qa qc, english)', 'manual qa/qc engineer', 'senior manual tester (qa qc, english)', 'senior manual qc (tester, product, start-up)']"
hr,ho chi minh,"training in special education (certificate course) education details july to october m.sc psychology with specialization in organizational behaviour malappuram, kerala calicut university july to march bsc psychology thrissur prajyoti niketan college hr skill details company details company - description - i have done a days internship in the hr department of foster hot breads, kinfra, malappuram, kerala and i have also done a days internship at santhwana institute of counselling and psychotherapy, cochin, kerala as counsellor","['erp business analyst - presales consultant', 'site reliability engineer (aws/aruze,linux,python,)', 'business analyst ']"
arts,ha noi,"education details january rachana sansad school of interior deign january holy family high school master of commerce marketing mumbai, maharashtra university of mumbai drawing & arts & craft teacher drawing & arts & craft teacher - ghatkopar ymca skill details company details company - ghatkopar ymca description - for years. worked in jungle cubs gym as a co-ordinator for year.","['product owner (business analyst, english)', 'business analyst ']"
